Heading,Description,Source,Year,Amount
Population,TOTAL POPULATION,Census 2000,2000,102743
Population,In households,Census 2000,2000,96921
Population,In group quarters,Census 2000,2000,5822
Race,White,Census 2000,2000,60797
Race,Black or African American,Census 2000,2000,14007
Race,American Indian and Alaska Native,Census 2000,2000,467
Race,Asian,Census 2000,2000,16837
Race,Native Hawaiian and Other Pacific Islander,Census 2000,2000,146
Race,Some other race,Census 2000,2000,4764
Race,Two or more races,Census 2000,2000,5725
HISPANIC OR LATINO AND RACE,Hispanic or Latino (of any race),Census 2000,2000,10001
Not Hispanic or Latino,Not Hispanic or Latino,Census 2000,2000,92742
Not Hispanic or Latino,White,Census 2000,2000,56691
Not Hispanic or Latino,Black or African American,Census 2000,2000,13707
Not Hispanic or Latino,American Indian and Alaska Native,Census 2000,2000,293
Not Hispanic or Latino,Asian,Census 2000,2000,16740
Not Hispanic or Latino,Native Hawaiian and Other Pacific Islander,Census 2000,2000,121
Not Hispanic or Latino,Some other race,Census 2000,2000,598
Not Hispanic or Latino,Two or more races,Census 2000,2000,4592
Sex,Male,Census 2000,2000,50456
Sex,Female,Census 2000,2000,52287
Age,Under 5 years,Census 2000,2000,4109
Age,5 to 17 years,Census 2000,2000,10404
Age,18 to 64 years,Census 2000,2000,77746
Age,65 years and over,Census 2000,2000,10484
Age,Median age,Census 2000,2000,32.5
Households,Total households,Census 2000,2000,44955
Households,Family households,Census 2000,2000,18646
Households,Families with children under 18,Census 2000,2000,7985
Households,Average household size,Census 2000,2000,2.16
Households,Average family size,Census 2000,2000,2.84
HOUSING OCCUPANCY,Total housing units,Census 2000,2000,46875
HOUSING OCCUPANCY,Occupied housing units,Census 2000,2000,44955
HOUSING OCCUPANCY,Owner-occupied housing units,Census 2000,2000,19214
HOUSING OCCUPANCY,Renter-occupied housing units,Census 2000,2000,25741
HOUSING OCCUPANCY,Vacant housing units,Census 2000,2000,1920
HOUSING OCCUPANCY,"1 unit, detached housing",Census 2000,2000,20097
HOUSING OCCUPANCY,Median value owner occupied unit (dollars),Census 2000,2000,380200
HOUSING OCCUPANCY,Median gross rent (dollars),Census 2000,2000,740
PLACE OF BIRTH BY CITIZENSHIP STATUS,Native,Census 2000,2000,81820
PLACE OF BIRTH BY CITIZENSHIP STATUS,Foreign born,Census 2000,2000,20923
PLACE OF BIRTH BY CITIZENSHIP STATUS,Naturalized citizen,Census 2000,2000,8916
PLACE OF BIRTH BY CITIZENSHIP STATUS,Not a citizen,Census 2000,2000,12007
