"","Incident.Number","Call.Date.Time","Location","Incident.Type","Other","Individual","Dispositions","Race","Gender","AgeRange","Reason","Enforcement","CarSearch","lat","long","Arrest","Emergency.Psych.Eval","Hour","Day"
"1","2015-00004848",2015-01-26 07:16:00,"2000 BLOCK BERKELEY WAY","1194",NA,1,"BM4ICN","Black","M","4","Investigation","Citation","No Search",37.8726801,-122.2707355,"Not Arrested","No",7,"2"
"2","2015-00004849",2015-01-26 07:43:00,"1700 BLOCK SAN PABLO AVE","1194",NA,1,"BM4ICN","Black","M","4","Investigation","Citation","No Search",37.8731719,-122.293804,"Not Arrested","No",7,"2"
"3","2015-00004865",2015-01-26 09:46:00,"M L KING JR WAY / UNIVERSITY AVE","T",NA,1,"OF4TCN","Other","F","4","Traffic","Citation","No Search",37.8716087,-122.2730269,"Not Arrested","No",9,"2"
"4","2015-00004870",2015-01-26 10:05:00,"M L KING JR WAY / UNIVERSITY AVE","T",NA,1,"OM4TCN","Other","M","4","Traffic","Citation","No Search",37.8716087,-122.2730269,"Not Arrested","No",10,"2"
"5","2015-00004876",2015-01-26 10:21:00,"UNIVERSITY AVE / M L KING JR WAY","T",NA,1,"OF2TCN","Other","F","2","Traffic","Citation","No Search",37.8716087,-122.2730269,"Not Arrested","No",10,"2"
"6","2015-00004882",2015-01-26 10:49:00,"HASTE ST / ELLSWORTH ST","T",NA,1,"OM2TCN","Other","M","2","Traffic","Citation","No Search",37.8654442,-122.2631606,"Not Arrested","No",10,"2"
"7","2015-00004887",2015-01-26 11:12:00,"ADELINE ST / OREGON ST","T",NA,1,"OM2TCN","Other","M","2","Traffic","Citation","No Search",37.857428,-122.2682845,"Not Arrested","No",11,"2"
"8","2015-00004902",2015-01-26 12:35:00,"1900 BLOCK SAN PABLO AVE","1194",NA,1,"BM2RCN","Black","M","2","Reasonable Suscipcion","Citation","No Search",37.870206,-122.292806,"Not Arrested","No",12,"2"
"9","2015-00004904",2015-01-26 12:51:00,"TELEGRAPH AVE / DURANT AVE","T",NA,1,"WF2TCN","White","F","2","Traffic","Citation","No Search",37.867814,-122.2589767,"Not Arrested","No",12,"2"
"10","2015-00004905",2015-01-26 12:53:00,"DELAWARE ST / ACTON ST","T",NA,1,"WM4TCN","White","M","4","Traffic","Citation","No Search",37.8727601,-122.2846144,"Not Arrested","No",12,"2"
"11","2015-00004909",2015-01-26 13:04:00,"UNIVERSITY AVE / SHATTUCK AVE","1194",NA,1,"WM2RCN","White","M","2","Reasonable Suscipcion","Citation","No Search",37.8720999,-122.2684067,"Not Arrested","No",13,"2"
"12","2015-00004911",2015-01-26 13:16:00,"SHATTUCK AVE / UNIVERSITY AVE","1194",NA,1,"BM4RCN","Black","M","4","Reasonable Suscipcion","Citation","No Search",37.8720999,-122.2684067,"Not Arrested","No",13,"2"
"13","2015-00004915",2015-01-26 13:30:00,"M L KING JR WAY / CARLETON ST","T",NA,1,"WM3TCN","White","M","3","Traffic","Citation","No Search",37.8606384,-122.271792,"Not Arrested","No",13,"2"
"14","2015-00004916",2015-01-26 13:30:00,"2100 BLOCK SHATTUCK AVE","1194",NA,1,"BF3RCN","Black","F","3","Reasonable Suscipcion","Citation","No Search",37.8711217,-122.2682992,"Not Arrested","No",13,"2"
"15","2015-00004920",2015-01-26 13:48:00,"DWIGHT WAY / SHATTUCK AVE","T",NA,1,"OM2TCN","Other","M","2","Traffic","Citation","No Search",37.8639703,-122.2674259,"Not Arrested","No",13,"2"
"16","2015-00004921",2015-01-26 13:54:00,"2400 BLOCK TELEGRAPH AVE","1194",NA,1,"WM2RWN","White","M","2","Reasonable Suscipcion","Warning","No Search",37.8674642,-122.2594219,"Not Arrested","No",13,"2"
