"Race","Enforcement","n","percentage"
"Asian","Arrest",57,0.05
"Asian","Citation",543,0.48
"Asian","Other",25,0.02
"Asian","Warning",516,0.45
"Black","Arrest",166,0.04
"Black","Citation",1365,0.29
"Black","Other",64,0.01
"Black","Warning",3041,0.66
"Hispanic","Arrest",64,0.04
"Hispanic","Citation",629,0.38
"Hispanic","Other",17,0.01
"Hispanic","Warning",966,0.58
"Other","Arrest",23,0.02
"Other","Citation",650,0.47
"Other","Other",7,0.01
"Other","Warning",704,0.51
"White","Arrest",131,0.02
"White","Citation",2766,0.51
"White","Other",63,0.01
"White","Warning",2494,0.46
