"Hour","Race","raceCount","hourcount","percentage"
0,"Asian",74,823,0.0899149453219927
0,"Black",319,823,0.387606318347509
0,"Hispanic",118,823,0.143377885783718
0,"Other",77,823,0.0935601458080194
0,"White",235,823,0.285540704738761
1,"Asian",44,618,0.0711974110032362
1,"Black",227,618,0.367313915857605
1,"Hispanic",87,618,0.140776699029126
1,"Other",82,618,0.132686084142395
1,"White",178,618,0.288025889967638
2,"Asian",23,489,0.0470347648261759
2,"Black",205,489,0.419222903885481
2,"Hispanic",71,489,0.14519427402863
2,"Other",54,489,0.110429447852761
2,"White",136,489,0.278118609406953
3,"Asian",18,289,0.0622837370242214
3,"Black",122,289,0.422145328719723
3,"Hispanic",33,289,0.114186851211073
3,"Other",27,289,0.0934256055363322
3,"White",89,289,0.307958477508651
4,"Asian",12,135,0.0888888888888889
4,"Black",57,135,0.422222222222222
4,"Hispanic",11,135,0.0814814814814815
4,"Other",12,135,0.0888888888888889
4,"White",43,135,0.318518518518519
5,"Asian",5,61,0.0819672131147541
5,"Black",22,61,0.360655737704918
5,"Hispanic",11,61,0.180327868852459
5,"Other",1,61,0.0163934426229508
5,"White",22,61,0.360655737704918
6,"Asian",8,157,0.0509554140127389
6,"Black",42,157,0.267515923566879
6,"Hispanic",26,157,0.165605095541401
6,"Other",14,157,0.089171974522293
6,"White",67,157,0.426751592356688
7,"Asian",23,341,0.0674486803519062
7,"Black",89,341,0.26099706744868
7,"Hispanic",38,341,0.111436950146628
7,"Other",34,341,0.0997067448680352
7,"White",157,341,0.460410557184751
8,"Asian",37,489,0.0756646216768916
8,"Black",105,489,0.214723926380368
8,"Hispanic",46,489,0.0940695296523517
8,"Other",60,489,0.122699386503067
8,"White",241,489,0.492842535787321
9,"Asian",55,582,0.0945017182130584
9,"Black",107,582,0.183848797250859
9,"Hispanic",48,582,0.0824742268041237
9,"Other",51,582,0.0876288659793814
9,"White",321,582,0.551546391752577
10,"Asian",74,682,0.108504398826979
10,"Black",129,682,0.189149560117302
10,"Hispanic",60,682,0.0879765395894428
10,"Other",66,682,0.0967741935483871
10,"White",353,682,0.517595307917889
11,"Asian",65,678,0.0958702064896755
11,"Black",132,678,0.194690265486726
11,"Hispanic",55,678,0.0811209439528024
11,"Other",70,678,0.103244837758112
11,"White",356,678,0.525073746312684
12,"Asian",103,802,0.128428927680798
12,"Black",173,802,0.21571072319202
12,"Hispanic",71,802,0.0885286783042394
12,"Other",76,802,0.0947630922693267
12,"White",379,802,0.472568578553616
13,"Asian",67,695,0.0964028776978417
13,"Black",145,695,0.20863309352518
13,"Hispanic",73,695,0.105035971223022
13,"Other",62,695,0.0892086330935252
13,"White",348,695,0.500719424460432
14,"Asian",38,515,0.0737864077669903
14,"Black",115,515,0.223300970873786
14,"Hispanic",52,515,0.100970873786408
14,"Other",58,515,0.112621359223301
14,"White",252,515,0.489320388349515
15,"Asian",51,542,0.0940959409594096
15,"Black",185,542,0.341328413284133
15,"Hispanic",50,542,0.0922509225092251
15,"Other",46,542,0.0848708487084871
15,"White",210,542,0.387453874538745
16,"Asian",44,612,0.0718954248366013
16,"Black",212,612,0.34640522875817
16,"Hispanic",68,612,0.111111111111111
16,"Other",50,612,0.0816993464052288
16,"White",238,612,0.388888888888889
17,"Asian",40,578,0.069204152249135
17,"Black",207,578,0.358131487889273
17,"Hispanic",58,578,0.100346020761246
17,"Other",44,578,0.0761245674740484
17,"White",229,578,0.396193771626298
18,"Asian",36,544,0.0661764705882353
18,"Black",199,544,0.365808823529412
18,"Hispanic",55,544,0.101102941176471
18,"Other",44,544,0.0808823529411765
18,"White",210,544,0.386029411764706
19,"Asian",33,685,0.0481751824817518
19,"Black",289,685,0.421897810218978
19,"Hispanic",76,685,0.110948905109489
19,"Other",65,685,0.0948905109489051
19,"White",222,685,0.324087591240876
20,"Asian",45,834,0.0539568345323741
20,"Black",347,834,0.416067146282974
20,"Hispanic",107,834,0.128297362110312
20,"Other",67,834,0.0803357314148681
20,"White",268,834,0.321342925659472
21,"Asian",81,971,0.0834191555097837
21,"Black",366,971,0.376930998970134
21,"Hispanic",140,971,0.144181256436663
21,"Other",101,971,0.104016477857878
21,"White",283,971,0.291452111225541
22,"Asian",83,1098,0.075591985428051
22,"Black",412,1098,0.375227686703097
22,"Hispanic",182,1098,0.165755919854281
22,"Other",113,1098,0.102914389799636
22,"White",308,1098,0.280510018214936
23,"Asian",82,1071,0.0765639589169001
23,"Black",430,1071,0.401493930905696
23,"Hispanic",140,1071,0.130718954248366
23,"Other",110,1071,0.102707749766573
23,"White",309,1071,0.288515406162465
