"";"id";"Total.population";"Hispanic.or.Latino";"Total.population..not.Hispanic.or.Latino";"One.race.total";"White";"Black.or.African.American";"American.Indian.and.Alaska.Native";"Asian";"Native.Hawaiian.and.Other.Pacific.Islander";"Some.Other.Race";"Two.or.More.Races"
"1";"4001";2937;117;2820;2821;2161;142;4;456;9;49;116
"2";"4002";1974;151;1823;1859;1659;33;4;147;0;16;115
"3";"4003";4865;399;4466;4546;3468;518;17;423;5;115;319
"4";"4004";3703;332;3371;3473;2628;456;14;278;6;91;230
"5";"4005";3517;340;3177;3249;1905;955;27;209;5;148;268
"6";"4006";1571;126;1445;1486;720;628;4;80;1;53;85
"7";"4007";4206;439;3767;3978;1391;2084;52;251;16;184;228
"8";"4008";3594;367;3227;3386;1281;1490;21;438;7;149;208
"9";"4009";2302;307;1995;2131;812;1038;10;129;5;137;171
"10";"4010";5678;806;4872;5271;1487;2923;45;424;12;380;407
"11";"4011";4156;522;3634;3838;2152;1009;35;454;10;178;318
"12";"4012";2416;226;2190;2254;1510;429;10;235;4;66;162
"13";"4013";3528;488;3040;3331;1060;1292;27;674;17;261;197
"14";"4014";4314;911;3403;4061;792;2138;53;429;6;643;253
"15";"4015";2630;406;2224;2500;683;1413;10;185;17;192;130
"16";"4016";2163;449;1714;2010;446;1027;48;260;3;226;153
"17";"4017";2667;683;1984;2489;889;908;38;271;9;374;178
"18";"4018";1703;329;1374;1593;301;993;11;53;7;228;110
"19";"4022";2385;720;1665;2218;553;896;15;283;2;469;167
"20";"4024";2351;220;2131;2207;366;1371;12;329;6;123;144
"21";"4025";1784;81;1703;1698;156;1201;10;297;0;34;86
"22";"4026";1151;66;1085;1115;145;346;4;581;4;35;36
"23";"4027";1569;243;1326;1456;292;894;8;163;0;99;113
"24";"4028";3345;276;3069;3136;891;1395;26;714;14;96;209
"25";"4029";1434;137;1297;1362;395;295;5;623;4;40;72
"26";"4030";2788;36;2752;2737;130;126;4;2472;1;4;51
"27";"4031";2238;321;1917;2156;560;687;5;756;5;143;82
"28";"4033";4054;242;3812;3900;1143;471;10;2194;5;77;154
"29";"4034";4146;387;3759;3897;1521;844;17;1352;13;150;249
"30";"4035.01";4374;440;3934;4043;1560;1252;23;1044;12;152;331
"31";"4035.02";1991;242;1749;1851;978;540;13;217;3;100;140
"32";"4036";4482;436;4046;4205;1707;1724;17;559;7;191;277
"33";"4037.01";2587;236;2351;2409;1396;560;15;360;1;77;178
"34";"4037.02";1724;149;1575;1604;1040;318;13;173;5;55;120
"35";"4038";3461;290;3171;3235;2315;339;12;470;3;96;226
"36";"4039";3584;323;3261;3362;2137;595;24;485;8;113;222
"37";"4040";2819;304;2515;2635;1796;416;10;329;5;79;184
"38";"4041.01";2929;274;2655;2762;2140;185;5;342;5;85;167
"39";"4041.02";2283;149;2134;2176;1621;186;7;306;4;52;107
"40";"4042";3483;187;3296;3297;2656;178;15;405;2;41;186
"41";"4043";3218;170;3048;3041;2467;144;10;379;0;41;177
"42";"4044";5314;355;4959;4994;3788;261;14;832;7;92;320
"43";"4045.01";1677;97;1580;1563;1278;73;1;198;1;12;114
"44";"4045.02";5784;347;5437;5421;4368;370;22;559;6;96;363
"45";"4046";4353;239;4114;4099;3326;261;6;450;7;49;254
"46";"4047";1954;117;1837;1856;1473;159;6;186;0;32;98
"47";"4048";2684;308;2376;2498;1340;549;30;460;10;109;186
"48";"4049";4129;399;3730;3879;2419;481;15;827;5;132;250
"49";"4050";3136;229;2907;2943;2185;307;10;381;1;59;193
"50";"4051";4197;226;3971;3958;2983;508;6;392;7;62;239
"51";"4052";4597;434;4163;4292;1940;724;20;1431;16;161;305
"52";"4053.01";2603;369;2234;2406;1205;625;19;384;4;169;197
"53";"4053.02";2530;370;2160;2389;711;507;16;961;5;189;141
"54";"4054.01";3957;829;3128;3747;674;800;38;1748;15;472;210
"55";"4054.02";3114;615;2499;2979;416;734;11;1430;4;384;135
"56";"4055";3643;449;3194;3447;652;763;17;1718;9;288;196
"57";"4056";3137;410;2727;2964;778;725;17;1208;3;233;173
"58";"4057";3243;559;2684;3078;475;1077;19;1162;10;335;165
"59";"4058";3965;729;3236;3861;412;793;27;2110;21;498;104
"60";"4059.01";3910;1564;2346;3713;633;550;43;1548;48;891;197
"61";"4059.02";3035;704;2331;2877;422;444;25;1643;3;340;158
"62";"4060";3450;734;2716;3314;752;447;27;1623;8;457;136
"63";"4061";4381;2529;1852;4139;1598;499;56;540;19;1427;242
"64";"4062.01";4649;2285;2364;4420;783;769;68;1409;27;1364;229
"65";"4062.02";4718;3092;1626;4498;1195;599;143;675;20;1866;220
"66";"4063";4113;1574;2539;3908;859;777;72;1409;32;759;205
"67";"4064";2145;372;1773;2052;618;604;30;570;15;215;93
"68";"4065";5930;2608;3322;5610;1437;1206;82;1436;37;1412;320
"69";"4066.01";4596;1074;3522;4316;908;1292;38;1542;18;518;280
"70";"4066.02";2493;739;1754;2303;497;668;31;709;1;397;190
"71";"4067";5048;442;4606;4714;2694;700;37;1112;30;141;334
"72";"4068";3428;380;3048;3246;1542;536;19;997;20;132;182
"73";"4069";3719;472;3247;3427;1532;837;39;852;6;161;292
"74";"4070";5885;1546;4339;5559;1174;1528;51;1885;39;882;326
"75";"4071.01";3414;1916;1498;3224;879;552;44;634;30;1085;190
"76";"4071.02";4351;2096;2255;4156;1092;919;55;872;15;1203;195
"77";"4072";6746;5044;1702;6424;2088;505;169;711;7;2944;322
"78";"4073";2598;1639;959;2490;856;350;33;222;17;1012;108
"79";"4074";3954;2566;1388;3753;913;825;66;381;19;1549;201
