"","Col1","Total.population","Hispanic.or.Latino","Total.population..not.Hispanic.or.Latino","One.race.total","White","Black.or.African.American","American.Indian.and.Alaska.Native","Asian","Native.Hawaiian.and.Other.Pacific.Islander","Some.Other.Race","Two.or.More.Races"
"1","BLOCKS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Block 1000, Block Group 1, Census Tract 4001, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"3","Block 1001, Block Group 1, Census Tract 4001, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"4","Block 1002, Block Group 1, Census Tract 4001, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"5","Block 1003, Block Group 1, Census Tract 4001, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"6","Block 1004, Block Group 1, Census Tract 4001, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"7","Block 1005, Block Group 1, Census Tract 4001, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"8","Block 1006, Block Group 1, Census Tract 4001, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"9","Block 1007, Block Group 1, Census Tract 4001, Alameda County, California",117,6,111,113,100,0,0,9,0,4,4
"10","Block 1008, Block Group 1, Census Tract 4001, Alameda County, California",20,0,20,20,16,0,0,2,0,2,0
"11","Block 1009, Block Group 1, Census Tract 4001, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"12","Block 1010, Block Group 1, Census Tract 4001, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"13","Block 1011, Block Group 1, Census Tract 4001, Alameda County, California",13,1,12,13,12,0,0,1,0,0,0
"14","Block 1012, Block Group 1, Census Tract 4001, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"15","Block 1013, Block Group 1, Census Tract 4001, Alameda County, California",1,0,1,1,1,0,0,0,0,0,0
"16","Block 1014, Block Group 1, Census Tract 4001, Alameda County, California",20,2,18,20,18,0,0,2,0,0,0
"17","Block 1015, Block Group 1, Census Tract 4001, Alameda County, California",33,1,32,33,26,2,0,5,0,0,0
"18","Block 1016, Block Group 1, Census Tract 4001, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"19","Block 1017, Block Group 1, Census Tract 4001, Alameda County, California",15,0,15,15,15,0,0,0,0,0,0
"20","Block 1018, Block Group 1, Census Tract 4001, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"21","Block 1019, Block Group 1, Census Tract 4001, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"22","Block 1020, Block Group 1, Census Tract 4001, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"23","Block 1021, Block Group 1, Census Tract 4001, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"24","Block 1022, Block Group 1, Census Tract 4001, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"25","Block 1023, Block Group 1, Census Tract 4001, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"26","Block 1024, Block Group 1, Census Tract 4001, Alameda County, California",316,10,306,299,255,13,0,29,0,2,17
"27","Block 1025, Block Group 1, Census Tract 4001, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"28","Block 1026, Block Group 1, Census Tract 4001, Alameda County, California",161,9,152,148,113,1,0,30,1,3,13
"29","Block 1027, Block Group 1, Census Tract 4001, Alameda County, California",147,17,130,142,111,12,0,9,0,10,5
"30","Block 1028, Block Group 1, Census Tract 4001, Alameda County, California",7,0,7,7,6,0,0,1,0,0,0
"31","Block 1029, Block Group 1, Census Tract 4001, Alameda County, California",3,0,3,3,2,1,0,0,0,0,0
"32","Block 1030, Block Group 1, Census Tract 4001, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"33","Block 1031, Block Group 1, Census Tract 4001, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"34","Block 1032, Block Group 1, Census Tract 4001, Alameda County, California",22,0,22,22,18,0,0,4,0,0,0
"35","Block 1033, Block Group 1, Census Tract 4001, Alameda County, California",207,8,199,198,149,6,0,41,0,2,9
"36","Block 1034, Block Group 1, Census Tract 4001, Alameda County, California",30,0,30,29,19,1,0,4,5,0,1
"37","Block 1035, Block Group 1, Census Tract 4001, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"38","Block 1036, Block Group 1, Census Tract 4001, Alameda County, California",229,17,212,215,159,5,0,45,2,4,14
"39","Block 1037, Block Group 1, Census Tract 4001, Alameda County, California",28,1,27,28,27,0,0,1,0,0,0
"40","Block 1038, Block Group 1, Census Tract 4001, Alameda County, California",40,0,40,40,35,3,0,2,0,0,0
"41","Block 1039, Block Group 1, Census Tract 4001, Alameda County, California",123,0,123,119,82,0,0,37,0,0,4
"42","Block 1040, Block Group 1, Census Tract 4001, Alameda County, California",17,1,16,17,13,3,0,0,0,1,0
"43","Block 1041, Block Group 1, Census Tract 4001, Alameda County, California",11,0,11,11,11,0,0,0,0,0,0
"44","Block 1042, Block Group 1, Census Tract 4001, Alameda County, California",13,0,13,12,8,1,0,3,0,0,1
"45","Block 1043, Block Group 1, Census Tract 4001, Alameda County, California",47,2,45,45,33,4,1,6,0,1,2
"46","Block 1044, Block Group 1, Census Tract 4001, Alameda County, California",153,2,151,147,101,12,1,32,0,1,6
"47","Block 1045, Block Group 1, Census Tract 4001, Alameda County, California",55,5,50,55,37,4,0,10,0,4,0
"48","Block 1046, Block Group 1, Census Tract 4001, Alameda County, California",62,4,58,59,36,4,0,13,0,6,3
"49","Block 1047, Block Group 1, Census Tract 4001, Alameda County, California",46,1,45,38,22,9,1,6,0,0,8
"50","Block 1048, Block Group 1, Census Tract 4001, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"51","Block 1049, Block Group 1, Census Tract 4001, Alameda County, California",128,4,124,120,82,6,0,32,0,0,8
"52","Block 1050, Block Group 1, Census Tract 4001, Alameda County, California",6,2,4,6,5,0,0,1,0,0,0
"53","Block 1051, Block Group 1, Census Tract 4001, Alameda County, California",34,0,34,30,15,7,0,8,0,0,4
"54","Block 1052, Block Group 1, Census Tract 4001, Alameda County, California",23,3,20,23,19,0,0,0,1,3,0
"55","Block 1053, Block Group 1, Census Tract 4001, Alameda County, California",54,1,53,53,35,2,0,16,0,0,1
"56","Block 1054, Block Group 1, Census Tract 4001, Alameda County, California",62,2,60,59,45,6,0,8,0,0,3
"57","Block 1055, Block Group 1, Census Tract 4001, Alameda County, California",13,0,13,13,9,1,0,2,0,1,0
"58","Block 1056, Block Group 1, Census Tract 4001, Alameda County, California",85,0,85,83,56,8,0,19,0,0,2
"59","Block 1057, Block Group 1, Census Tract 4001, Alameda County, California",48,4,44,46,33,2,0,11,0,0,2
"60","Block 1058, Block Group 1, Census Tract 4001, Alameda County, California",118,4,114,118,85,7,1,21,0,4,0
"61","Block 1059, Block Group 1, Census Tract 4001, Alameda County, California",37,0,37,37,26,1,0,10,0,0,0
"62","Block 1060, Block Group 1, Census Tract 4001, Alameda County, California",52,2,50,52,39,7,0,6,0,0,0
"63","Block 1061, Block Group 1, Census Tract 4001, Alameda County, California",69,0,69,69,57,5,0,7,0,0,0
"64","Block 1062, Block Group 1, Census Tract 4001, Alameda County, California",37,0,37,34,27,3,0,4,0,0,3
"65","Block 1063, Block Group 1, Census Tract 4001, Alameda County, California",16,0,16,15,14,0,0,1,0,0,1
"66","Block 1064, Block Group 1, Census Tract 4001, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"67","Block 1065, Block Group 1, Census Tract 4001, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"68","Block 1066, Block Group 1, Census Tract 4001, Alameda County, California",23,1,22,23,22,0,0,1,0,0,0
"69","Block 1067, Block Group 1, Census Tract 4001, Alameda County, California",16,0,16,14,11,3,0,0,0,0,2
"70","Block 1068, Block Group 1, Census Tract 4001, Alameda County, California",11,0,11,10,8,1,0,0,0,1,1
