"";"id";"TotalPop";"Total.population";"Hispanic.or.Latino";"Total.population..not.Hispanic.or.Latino";"One.race.total";"White";"Black.or.African.American";"American.Indian.and.Alaska.Native";"Asian";"Native.Hawaiian.and.Other.Pacific.Islander";"Some.Other.Race";"Two.or.More.Races"
"1";"4238";2925;2925;128;2797;2809;2549;49;6;182;2;21;116
"2";"4222";3144;3144;358;2786;2923;1882;402;11;484;13;131;221
"3";"4224";4196;4196;343;3853;3985;2324;191;5;1360;2;103;211
"4";"4225";4658;4658;323;4335;4380;2889;104;8;1290;13;76;278
"5";"4223";3387;3387;311;3076;3177;2224;196;6;651;3;97;210
"6";"4218";2007;2007;100;1907;1890;1587;59;7;219;0;18;117
"7";"4236.01";2642;2642;203;2439;2501;1934;92;14;385;3;73;141
"8";"4216";3558;3558;188;3370;3365;2872;59;5;368;5;56;193
"9";"4217";3198;3198;233;2965;3009;2305;99;16;523;3;63;189
"10";"4212";3563;3563;191;3372;3393;2965;73;4;296;5;50;170
"11";"4211";1992;1992;100;1892;1895;1596;38;2;234;7;18;97
"12";"4235";3118;3118;255;2863;2916;1704;606;17;493;4;92;202
"13";"4232";2794;2794;887;1907;2589;1170;642;23;251;7;496;205
"14";"4220";1756;1756;222;1534;1625;848;504;9;175;5;84;131
"15";"4219";3632;3632;331;3301;3386;2475;297;21;503;2;88;246
"16";"4213";3844;3844;202;3642;3642;3142;69;9;372;3;47;202
"17";"4240.01";3716;3716;750;2966;3456;1472;1181;30;314;11;448;260
"18";"4236.02";5659;5659;504;5155;5325;2652;141;20;2314;3;195;334
"19";"4233";3647;3647;542;3105;3375;1519;1265;27;322;14;228;272
"20";"4215";3640;3640;188;3452;3450;3020;60;6;319;0;45;190
"21";"4228";8368;8368;1077;7291;7798;3137;350;42;3749;10;510;570
"22";"4237";3633;3633;275;3358;3430;2553;81;7;716;4;69;203
"23";"4214";1593;1593;62;1531;1525;1354;28;4;129;0;10;68
"24";"4221";2685;2685;761;1924;2486;1225;450;33;339;4;435;199
"25";"4239.02";1552;1552;134;1418;1459;1213;56;6;148;4;32;93
"26";"4230";4396;4396;447;3949;4103;2866;353;23;710;6;145;293
"27";"4239.01";2020;2020;221;1799;1884;1177;427;11;152;2;115;136
"28";"4240.02";2172;2172;369;1803;2033;742;931;37;158;7;158;139
"29";"4231";3964;3964;641;3323;3704;2126;712;23;522;19;302;260
"30";"4227";4885;4885;499;4386;4588;2813;127;17;1434;5;192;297
"31";"4226";1215;1215;141;1074;1137;629;12;2;457;0;37;78
"32";"4229";4336;4336;485;3851;4061;1804;385;11;1607;9;245;275
"33";"4234";4685;4685;738;3947;4287;2228;1202;17;514;11;315;398
