"","Country","Year","GDP per capita","Life Expectancy","Total Population","Group"
"1","Abkhazia","1800",NA,NA,NA,"Europe & Central Asia"
"2","Afghanistan","1800",603,28.211,3280000,"South Asia"
"3","Akrotiri and Dhekelia","1800",NA,NA,NA,"Europe & Central Asia"
"4","Albania","1800",667,35.4,410445,"Europe & Central Asia"
"5","Algeria","1800",716,28.8224,2503218,"Middle East & North Africa"
"6","American Samoa","1800",NA,NA,8170,"East Asia & Pacific"
"7","Andorra","1800",1197,NA,2654,"Europe & Central Asia"
"8","Angola","1800",618,26.98,1567028,"Sub-Saharan Africa"
"9","Anguilla","1800",NA,NA,2025,"America"
"10","Antigua and Barbuda","1800",757,33.536,37000,"America"
"11","Argentina","1800",1507,33.2,534000,"America"
"12","Armenia","1800",514,33.995,413326,"Europe & Central Asia"
"13","Aruba","1800",833,34.419,19286,"America"
"14","Australia","1800",815,34.05,351014,"East Asia & Pacific"
"15","Austria","1800",1848,34.4,3205587,"Europe & Central Asia"
"16","Azerbaijan","1800",775,29.165,879960,"Europe & Central Asia"
"17","Bahamas","1800",1445,35.179,27350,"America"
"18","Bahrain","1800",1235,30.3,64474,"Middle East & North Africa"
"19","Bangladesh","1800",876,25.5,19227358,"South Asia"
"20","Barbados","1800",913,32.124,81729,"America"
"21","Belarus","1800",608,36.2,2355081,"Europe & Central Asia"
"22","Belgium","1800",2412,40,3138137,"Europe & Central Asia"
"23","Belize","1800",579,26.5,25526,"America"
"24","Benin","1800",597,31,636559,"Sub-Saharan Africa"
"25","Bermuda","1800",1227,NA,9692,"America"
"26","Bhutan","1800",629,28.799,89989,"South Asia"
"27","Bolivia","1800",854,33,1100000,"America"
"28","Bosnia and Herzegovina","1800",669,35.1,851806,"Europe & Central Asia"
"29","Botswana","1800",397,33.6,121000,"Sub-Saharan Africa"
"30","Brazil","1800",1109,32,3639636,"America"
"31","British Virgin Islands","1800",NA,NA,6700,"America"
"32","Brunei","1800",1512,29.2,2128,"East Asia & Pacific"
"33","Bulgaria","1800",1089,35.8,1992320,"Europe & Central Asia"
"34","Burkina Faso","1800",480,29.2,1665421,"Sub-Saharan Africa"
"35","Burundi","1800",418,31.5,899097,"Sub-Saharan Africa"
"36","Cambodia","1800",903,35,2090000,"East Asia & Pacific"
"37","Cameroon","1800",626,28.75,1860054,"Sub-Saharan Africa"
"38","Canada","1800",1314,39,645526,"America"
"39","Cape Verde","1800",529,33.8,55716,"Sub-Saharan Africa"
"40","Cayman Islands","1800",1039,NA,2439,"America"
"41","Central African Republic","1800",424,30,479444,NA
"42","Chad","1800",418,30.9,1432000,"Sub-Saharan Africa"
"43","Channel Islands","1800",NA,NA,43908,"Europe & Central Asia"
"44","Chile","1800",1026,32,771447,"America"
"45","China","1800",985,32,321675013,"East Asia & Pacific"
"46","Christmas Island","1800",NA,NA,NA,"East Asia & Pacific"
"47","Cocos Island","1800",NA,NA,NA,"East Asia & Pacific"
"48","Colombia","1800",963,32,1206000,"America"
"49","Comoros","1800",696,32.1,56346,"Sub-Saharan Africa"
"50","Congo, Dem. Rep.","1800",485,31.6,5163819,"Sub-Saharan Africa"
"51","Congo, Rep.","1800",575,32.7,314465,"Sub-Saharan Africa"
"52","Cook Is","1800",NA,NA,16136,NA
"53","Costa Rica","1800",775,30.2147,51987,"America"
"54","Cote d'Ivoire","1800",812,31.156,1088530,"Sub-Saharan Africa"
"55","Croatia","1800",NA,36.1,1227886,"Europe & Central Asia"
"56","Cuba","1800",864,32.2,345043,"America"
"57","Cyprus","1800",853,38.5,184392,"Europe & Central Asia"
"58","Czech Republic","1800",1915,34.9544,5516349,NA
"59","Czechoslovakia","1800",NA,NA,NA,"Europe & Central Asia"
"60","Denmark","1800",2013,37.4055532520793,1062514,"Europe & Central Asia"
"61","Djibouti","1800",752,29.9,22848,"Middle East & North Africa"
"62","Dominica","1800",663,NA,19950,"America"
"63","Dominican Republic","1800",667,29.9,89000,NA
"64","East Germany","1800",NA,NA,NA,"Europe & Central Asia"
"65","Ecuador","1800",529,32.9,5e+05,"America"
"66","Egypt","1800",791,33,4243515,"Middle East & North Africa"
"67","El Salvador","1800",974,28.7,248000,"America"
"68","Equatorial Guinea","1800",356,29.8,80377,"Sub-Saharan Africa"
"69","Eritrea","1800",532,30.2,205010,"Sub-Saharan Africa"
"70","Eritrea and Ethiopia","1800",NA,NA,NA,"Sub-Saharan Africa"
"71","Estonia","1800",938,36.1419674277376,334136,"Europe & Central Asia"
"72","Ethiopia","1800",523,29.7,2948990,"Sub-Saharan Africa"
"73","Faeroe Islands","1800",NA,NA,13537,"Europe & Central Asia"
"74","Falkland Is (Malvinas)","1800",NA,NA,100,NA
"75","Fiji","1800",785,26.1,130533,"East Asia & Pacific"
"76","Finland","1800",1244,36.5731262034154,977662,"Europe & Central Asia"
"77","France","1800",1803,33.967170239091,29355111,"Europe & Central Asia"
