"","make","country","year","model","vclass","displ","tran","trans_dscr","cyl","drive","fueltype","tcharger","scharger","guzzler","cty","hwy","cmb","pv","lv"
"111","acura","japan",2000,"NSX","Two Seaters",3,"Automatic 4-spd","2MODE","6","Rear-Wheel Drive","Premium",FALSE,FALSE,FALSE,15,22,18,NA,NA
"112","acura","japan",2000,"NSX","Two Seaters",3.2,"Manual 6-spd",NA,"6","Rear-Wheel Drive","Premium",FALSE,FALSE,FALSE,15,22,18,NA,NA
"113","acura","japan",2000,"Integra","Subcompact Cars",1.8,"Automatic 4-spd",NA,"4","Front-Wheel Drive","Regular",FALSE,FALSE,FALSE,21,28,23,80,12.5
"114","acura","japan",2000,"Integra","Subcompact Cars",1.8,"Manual 5-spd",NA,"4","Front-Wheel Drive","Regular",FALSE,FALSE,FALSE,22,28,24,80,12.5
"115","acura","japan",2000,"Integra","Subcompact Cars",1.8,"Manual 5-spd",NA,"4","Front-Wheel Drive","Premium",FALSE,FALSE,FALSE,22,28,24,80,12.5
"116","acura","japan",2000,"3.2TL","Midsize Cars",3.2,"Automatic 5-spd","2MODE","6","Front-Wheel Drive","Premium",FALSE,FALSE,FALSE,17,27,20,96,14
"117","acura","japan",2000,"3.5RL","Midsize Cars",3.5,"Automatic 4-spd",NA,"6","Front-Wheel Drive","Premium",FALSE,FALSE,FALSE,16,22,18,96,15
"118","acura","japan",2001,"NSX","Two Seaters",3,"Automatic (S4)","2MODE","6","Rear-Wheel Drive","Premium",FALSE,FALSE,FALSE,15,22,18,NA,NA
"119","acura","japan",2001,"NSX","Two Seaters",3.2,"Manual 6-spd",NA,"6","Rear-Wheel Drive","Premium",FALSE,FALSE,FALSE,15,22,18,NA,NA
"120","acura","japan",2001,"Integra","Subcompact Cars",1.8,"Automatic 4-spd",NA,"4","Front-Wheel Drive","Regular",FALSE,FALSE,FALSE,21,28,23,80,12.5
"121","acura","japan",2001,"Integra","Subcompact Cars",1.8,"Manual 5-spd",NA,"4","Front-Wheel Drive","Regular",FALSE,FALSE,FALSE,22,28,24,80,12.5
"122","acura","japan",2001,"Integra","Subcompact Cars",1.8,"Manual 5-spd",NA,"4","Front-Wheel Drive","Premium",FALSE,FALSE,FALSE,22,28,24,80,12.5
"123","acura","japan",2001,"3.2CL","Compact Cars",3.2,"Automatic (S5)","2MODE","6","Front-Wheel Drive","Premium",FALSE,FALSE,FALSE,17,27,20,90,14
"124","acura","japan",2001,"3.2TL","Midsize Cars",3.2,"Automatic (S5)","2MODE","6","Front-Wheel Drive","Premium",FALSE,FALSE,FALSE,17,27,20,96,14
"125","acura","japan",2001,"3.5RL","Midsize Cars",3.5,"Automatic 4-spd",NA,"6","Front-Wheel Drive","Premium",FALSE,FALSE,FALSE,16,22,18,96,15
"126","acura","japan",2001,"MDX","Sport Utility Vehicles",3.5,"Automatic 5-spd",NA,"6","4-Wheel or All-Wheel Drive","Premium",FALSE,FALSE,FALSE,15,21,17,NA,NA
"127","acura","japan",2002,"NSX","Two Seaters",3,"Automatic (S4)","2MODE","6","Rear-Wheel Drive","Premium",FALSE,FALSE,FALSE,15,22,18,NA,NA
"128","acura","japan",2002,"NSX","Two Seaters",3.2,"Manual 6-spd",NA,"6","Rear-Wheel Drive","Premium",FALSE,FALSE,FALSE,15,22,18,NA,NA
"129","acura","japan",2002,"RSX","Subcompact Cars",2,"Manual 5-spd",NA,"4","Front-Wheel Drive","Regular",FALSE,FALSE,FALSE,23,30,26,81,16
"130","acura","japan",2002,"RSX","Subcompact Cars",2,"Manual 6-spd",NA,"4","Front-Wheel Drive","Premium",FALSE,FALSE,FALSE,21,28,24,81,16
"131","acura","japan",2002,"RSX","Subcompact Cars",2,"Automatic (S5)","2MODE","4","Front-Wheel Drive","Regular",FALSE,FALSE,FALSE,21,30,24,81,16
"132","acura","japan",2002,"3.2CL","Compact Cars",3.2,"Automatic (S5)","2MODE","6","Front-Wheel Drive","Premium",FALSE,FALSE,FALSE,17,27,21,90,14
